,Time,Image file,File path,Predicted label
722,2022-07-19 12:07:23,WSCT2405.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2405.JPG,1
594,2022-07-19 12:37:23,WSCT2406.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2406.JPG,0
563,2022-07-19 13:07:23,WSCT2407.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2407.JPG,0
1326,2022-07-19 13:37:23,WSCT2408.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2408.JPG,0
1358,2022-07-19 14:07:23,WSCT2409.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2409.JPG,0
688,2022-07-19 14:37:23,WSCT2410.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2410.JPG,0
720,2022-07-19 15:07:23,WSCT2411.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2411.JPG,0
597,2022-07-19 15:37:23,WSCT2412.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2412.JPG,0
560,2022-07-19 16:07:23,WSCT2413.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2413.JPG,0
855,2022-07-19 16:37:23,WSCT2414.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2414.JPG,0
812,2022-07-19 17:07:23,WSCT2415.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2415.JPG,0
937,2022-07-19 17:37:23,WSCT2416.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2416.JPG,0
978,2022-07-19 18:07:23,WSCT2417.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2417.JPG,0
1233,2022-07-19 18:37:23,WSCT2418.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2418.JPG,0
1187,2022-07-19 19:07:23,WSCT2419.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2419.JPG,0
1319,2022-07-19 19:37:23,WSCT2420.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2420.JPG,0
1367,2022-07-20 06:00:01,WSCT2421.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2421.JPG,1
1489,2022-07-20 06:30:01,WSCT2422.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2422.JPG,1
1450,2022-07-20 07:00:01,WSCT2423.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2423.JPG,1
1229,2022-07-20 07:30:01,WSCT2424.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2424.JPG,1
1192,2022-07-20 08:00:01,WSCT2425.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2425.JPG,1
1066,2022-07-20 08:30:01,WSCT2426.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2426.JPG,1
1097,2022-07-20 09:00:01,WSCT2427.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2427.JPG,1
849,2022-07-20 09:30:01,WSCT2428.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2428.JPG,1
817,2022-07-20 10:00:01,WSCT2429.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2429.JPG,0
1227,2022-07-20 10:30:01,WSCT2430.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2430.JPG,0
1195,2022-07-20 11:00:01,WSCT2431.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2431.JPG,0
1063,2022-07-20 11:30:01,WSCT2432.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2432.JPG,0
1100,2022-07-20 12:00:01,WSCT2433.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2433.JPG,0
1321,2022-07-20 12:30:01,WSCT2434.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2434.JPG,0
1364,2022-07-20 13:00:01,WSCT2435.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Mt Dallas Jul-Sep 2022 photos/photos/WSCT2435.JPG,0
