,Time,Image file,File path,Predicted label
797,2022-05-01 06:00:01,WSCT3848.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3848.JPG,1
691,2022-05-01 06:30:01,WSCT3849.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3849.JPG,1
1485,2022-05-01 07:00:01,WSCT3850.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3850.JPG,1
1382,2022-05-01 07:30:01,WSCT3851.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3851.JPG,1
1522,2022-05-01 08:00:01,WSCT3852.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3852.JPG,1
1616,2022-05-01 08:30:01,WSCT3853.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3853.JPG,1
1241,2022-05-01 09:00:01,WSCT3854.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3854.JPG,0
1339,2022-05-01 09:30:01,WSCT3855.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3855.JPG,0
1200,2022-05-01 10:00:01,WSCT3856.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3856.JPG,0
1109,2022-05-01 10:30:01,WSCT3857.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3857.JPG,0
836,2022-05-01 11:00:01,WSCT3858.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3858.JPG,0
932,2022-05-01 11:30:01,WSCT3859.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3859.JPG,0
793,2022-05-01 12:00:01,WSCT3860.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3860.JPG,0
699,2022-05-01 12:30:01,WSCT3861.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3861.JPG,0
564,2022-05-01 13:00:01,WSCT3862.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3862.JPG,0
655,2022-05-01 13:30:01,WSCT3863.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3863.JPG,0
833,2022-05-01 14:00:01,WSCT3864.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3864.JPG,0
938,2022-05-01 14:30:01,WSCT3865.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3865.JPG,0
1071,2022-05-01 15:00:01,WSCT3866.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3866.JPG,0
972,2022-05-01 15:30:01,WSCT3867.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3867.JPG,0
1238,2022-05-01 16:00:01,WSCT3868.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3868.JPG,0
1342,2022-05-01 16:30:01,WSCT3869.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3869.JPG,0
832,2022-05-01 17:00:01,WSCT3870.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3870.JPG,0
940,2022-05-01 17:30:01,WSCT3871.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/False Bay May-Jul 2022 photos/photos/WSCT3871.JPG,0
